epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,324.147,0.44994,1.65015,0.82791,0.99654,0.54601,0.7705,0.73539,0.42571,11.6866,0.81116,0.0003367,0.0003367,0.0003367
136,326.692,0.44419,1.67076,0.82041,0.99634,0.54601,0.7705,0.75445,0.43171,11.6371,0.80837,0.00033175,0.00033175,0.00033175
137,329.218,0.44916,1.66102,0.82876,0.99556,0.54601,0.7705,0.76795,0.4142,11.8991,0.80343,0.0003268,0.0003268,0.0003268
138,331.651,0.45691,1.71353,0.82149,0.99526,0.54601,0.7705,0.76515,0.41335,11.8992,0.80416,0.00032185,0.00032185,0.00032185
139,334.007,0.45954,1.65379,0.82215,0.99669,0.54601,0.7705,0.76721,0.3981,12.0623,0.80231,0.0003169,0.0003169,0.0003169
140,336.352,0.48259,1.76808,0.84376,1,0.54601,0.7705,0.7705,0.38135,12.1406,0.80193,0.00031195,0.00031195,0.00031195
141,338.663,0.43916,1.66704,0.81188,0.99746,0.54601,0.7705,0.76882,0.37849,12.281,0.80202,0.000307,0.000307,0.000307
142,340.968,0.46245,1.72199,0.82582,1,0.54601,0.7705,0.76882,0.38906,12.4609,0.80059,0.00030205,0.00030205,0.00030205
143,343.28,0.46431,1.6885,0.82285,1,0.54601,0.7705,0.76882,0.40276,12.3683,0.80086,0.0002971,0.0002971,0.0002971
144,345.602,0.47168,1.71422,0.82261,1,0.54601,0.7705,0.76308,0.41611,12.2841,0.80723,0.00029215,0.00029215,0.00029215
145,347.894,0.46194,1.70697,0.83817,0.99833,0.54601,0.7705,0.7705,0.38947,12.1557,0.80055,0.0002872,0.0002872,0.0002872
146,350.247,0.48853,1.78735,0.83753,0.99684,0.54601,0.7705,0.7705,0.37985,12.012,0.79364,0.00028225,0.00028225,0.00028225
147,352.544,0.4638,1.6772,0.82692,0.99584,0.54601,0.7705,0.7705,0.38067,12.01,0.79597,0.0002773,0.0002773,0.0002773
148,354.889,0.48435,1.96334,0.82402,0.99681,0.54601,0.7705,0.76326,0.39232,12.114,0.79612,0.00027235,0.00027235,0.00027235
149,357.252,0.43934,1.63307,0.82059,0.99682,0.54601,0.7705,0.76458,0.40992,12.1546,0.79527,0.0002674,0.0002674,0.0002674
